#,Keyword,Frequency
1,profit,1
1,ems,1220000
3,global warming,550000
5,epa,450000
6,pollution,368000
7,climate change,301000
8,sustainability,301000
10,dep,110000
11,environmental pollution,74000
12,environmental science,60500
13,environmental engineering,60500
14,ewg,60500
15,environmental issues,49500
16,environmental health,40500
17,environmental problems,27100
18,what is environment,27100
19,environmentalist,27100
20,environmental protection,18100
21,environmental sustainability,18100
22,enviromental,18100
23,environmental impact assessment,18100
24,envi,18100
25,us epa,18100
26,epas,18100
27,environmental news,14800
28,environmental management,14800
29,environmental law,14800
30,environmental degradation,14800
31,environmental studies,14800
32,environment protection act,14800
33,envibus,12100
34,our environment,9900
35,environmental conservation,9900
36,environmental factors,9900
37,natural environment,9900
38,environmental scientist,9900
39,environmental scanning,9900
40,the environment,8100
41,environmental chemistry,8100
42,environmental science and technology,8100
43,environmental policy,8100
44,environmental education,8100
45,environmental ethics,8100
46,environmental hazards,6600
47,environmental agency,6600
48,environmental impact,6600
49,environment project,6600
50,save the environment,6600
51,environmental awareness,6600
52,enviromental issues,6600
53,environmental pollution essay,6600
54,environment slogans,6600
55,environmental economics,6600
56,article on environment,5400
57,about environment,5400
58,environmental technology,5400
59,epa gov,5400
60,environmental articles,4400
61,environmental organizations,4400
62,protect the environment,4400
63,about pollution,4400
64,global environment,3600
65,environmental concerns,3600
66,environmental sanitation,3600
67,environmental problems,3600
68,environmental changes,3600
69,conservation of environment,3600
70,current environmental issues,3600
71,environmental monitoring,3600
72,environmental research,3600
73,enviromental health,3600
74,environnemental,3600
75,environmental topics,2900
76,protect environment,2900
77,how to protect environment,2900
78,environmental management jobs,2900
79,environmental management plan,2900
80,causes of environmental pollution,2900
81,environmental disasters,2900
82,environment problems,2900
83,environmental solutions,2900
84,environmental movement,2900
85,the epa,2900
86,what is the environment,2900
87,environmental current events,2400
88,global environmental issues,2400
89,environmental legislation,2400
90,save our environment,2400
91,environmental groups,2400
92,how to save the environment,2400
93,ecology and environment,2400
94,environmental regulations,2400
95,ecological problems,2400
96,environmental planning,2400
97,epa website,2400
98,epa usa,2400
99,environment logo,2400
100,environment facts,1900
101,fire,1
102,fires,1
103,disaster,1